ticker;bench
A;IWM
AA;IWM
AAAU;IWM
AAL;IWM
AAOI;IWM
AAP;IWM
AAPB;IWM
AAPD;IWM
AAPL;QQQ
AAPU;IWM
AAPW;IWM
AAPX;IWM
ABAT;IWM
ABBV;SPY
ABCL;IWM
ABEV;IWM
ABNB;QQQ
ABP;IWM
ABR;IWM
ABSI;IWM
ABT;IWM
ABTC;IWM
ABVE;IWM
ABVX;IWM
ACGL;XLF
ACHR;IWM
ACLS;IWM
ACLX;IWM
ACMR;IWM
ACN;SPY
ADAP;IWM
ADBE;QQQ
ADBG;IWM
ADI;SMH
ADM;IWM
ADMA;IWM
ADP;SPY
ADSK;IWM
ADTN;IWM
AEC;IWM
AEG;IWM
AEHR;IWM
AEM;GDX
AEO;IWM
AEP;IWM
AES;IWM
AEVA;IWM
AFRM;IWM
AG;IWM
AGG;IWM
AGI;GDX
AGNC;IWM
AGQ;IWM
AGX;IWM
AI;IWM
AIG;XLF
AIPI;IWM
AIQ;IWM
AIRE;IWM
AIRO;IWM
AISP;IWM
AIYY;IWM
AJG;IWM
AKAM;IWM
ALAB;IWM
ALB;IWM
ALC;IWM
ALGM;IWM
ALGN;IWM
ALK;IWM
ALL;XLF
ALLT;IWM
ALLW;IWM
ALM;IWM
ALNY;IWM
ALT;IWM
ALTS;IWM
ALV;IWM
AMAT;SMH
AMBA;IWM
AMBQ;IWM
AMC;IWM
AMCR;IWM
AMD;SMH
AMDD;IWM
AMDG;IWM
AMDL;IWM
AMDW;IWM
AMDY;IWM
AMGN;SPY
AMKR;IWM
AMLP;IWM
AMP;XLF
AMPX;IWM
AMR;IWM
AMRZ;IWM
AMSC;IWM
AMT;SPY
AMTM;IWM
AMUU;IWM
AMZD;IWM
AMZN;QQQ
AMZU;IWM
AMZY;IWM
AMZZ;IWM
ANEL;IWM
ANET;IWM
ANF;IWM
ANGX;IWM
AON;IWM
APA;XLE
APD;IWM
APH;IWM
APLD;IWM
APLX;IWM
APLY;IWM
APO;IWM
APP;IWM
APPS;IWM
APPX;IWM
APTV;IWM
AR;IWM
ARAI;IWM
ARBE;IWM
ARCC;IWM
ARCX;IWM
ARDX;IWM
ARE;IWM
AREC;IWM
ARES;IWM
ARGT;IWM
ARGX;IWM
ARKB;IWM
ARKF;IWM
ARKG;IWM
ARKK;IWM
ARKQ;IWM
ARKW;IWM
ARKX;IWM
ARM;SMH
ARMG;IWM
ARQQ;IWM
ARQT;IWM
ARR;IWM
ARRY;IWM
ARTY;IWM
ARWR;IWM
AS;IWM
ASAN;IWM
ASHR;IWM
ASM;IWM
ASMG;IWM
ASML;SMH
ASPI;IWM
ASPN;IWM
ASST;IWM
ASTS;IWM
ASTX;IWM
ASX;IWM
ATAI;IWM
ATAT;IWM
ATCH;IWM
ATI;IWM
ATRO;IWM
ATYR;IWM
AU;GDX
AUDC;IWM
AUR;IWM
AVAV;IWM
AVB;IWM
AVGG;IWM
AVGO;SMH
AVGW;IWM
AVGX;IWM
AVL;IWM
AVS;IWM
AVUV;IWM
AWK;IWM
AXON;IWM
AXP;XLF
AXSM;IWM
AZN;IWM
AZO;IWM
B;IWM
BA;SPY
BABA;KWEB
BABX;IWM
BAC;XLF
BAIG;IWM
BAR;IWM
BAX;IWM
BB;IWM
BBAI;IWM
BBBY;IWM
BBD;IWM
BBIO;IWM
BBVA;IWM
BBWI;IWM
BBY;IWM
BCAT;IWM
BCS;IWM
BDX;IWM
BE;IWM
BEAM;IWM
BEKE;KWEB
BERZ;IWM
BF.B;IWM
BG;IWM
BGL;IWM
BGMS;IWM
BHP;IWM
BIDU;KWEB
BIIB;IWM
BIL;IWM
BILI;KWEB
BILL;IWM
BILS;IWM
BINI;IWM
BIRK;IWM
BITB;IWM
BITF;BITO
BITI;IWM
BITO;BITO
BITU;IWM
BITX;IWM
BJ;IWM
BK;XLF
BKKT;IWM
BKLN;IWM
BKNG;SPY
BKR;XLE
BKSY;IWM
BLD;IWM
BLDP;IWM
BLDR;IWM
BLK;XLF
BLNE;IWM
BLNK;IWM
BLOK;IWM
BLOX;IWM
BLSH;IWM
BMNR;IWM
BMO;IWM
BMRN;IWM
BMY;SPY
BN;IWM
BNC;IWM
BND;IWM
BNTX;IWM
BOIL;IWM
BOND;IWM
BOOT;IWM
BORR;IWM
BOTZ;IWM
BOXX;IWM
BP;IWM
BR;IWM
BRBR;IWM
BRK.B;SPY
BRKR;IWM
BRKU;IWM
BRO;IWM
BROS;IWM
BRZE;IWM
BSLK;IWM
BSX;IWM
BTAI;IWM
BTBT;BITO
BTC;BITO
BTCI;IWM
BTCL;IWM
BTCM;BITO
BTCO;IWM
BTCS;IWM
BTCT;IWM
BTCW;IWM
BTCZ;IWM
BTDR;BITO
BTG;GDX
BTGD;IWM
BTI;IWM
BTM;BITO
BTOG;IWM
BTU;IWM
BUD;IWM
BUG;IWM
BULL;IWM
BULZ;IWM
BUR;IWM
BURL;IWM
BURU;IWM
BWLP;IWM
BWXT;IWM
BX;IWM
BXSL;IWM
BYND;IWM
BYRN;IWM
BZAI;IWM
C;XLF
CACC;IWM
CACI;IWM
CAG;IWM
CAH;IWM
CAI;IWM
CAKE;IWM
CALM;IWM
CAMT;IWM
CAN;BITO
CAPR;IWM
CAR;IWM
CARR;IWM
CART;IWM
CASY;IWM
CAT;SPY
CAVA;IWM
CB;XLF
CBOE;IWM
CBRL;IWM
CC;IWM
CCEP;IWM
CCI;IWM
CCJ;IWM
CCL;IWM
CCUP;IWM
CDE;GDX
CDNS;IWM
CDW;IWM
CEF;IWM
CEG;IWM
CELC;IWM
CELH;IWM
CEP;IWM
CF;IWM
CFLT;IWM
CG;IWM
CGBSF;IWM
CGC;IWM
CGDV;IWM
CGNX;IWM
CGON;IWM
CGTX;IWM
CHA;IWM
CHAT;IWM
CHAU;IWM
CHE;IWM
CHGG;IWM
CHKP;IWM
CHOW;IWM
CHPT;IWM
CHPY;IWM
CHRD;IWM
CHRW;IWM
CHTR;IWM
CHWY;IWM
CHYM;IWM
CI;IWM
CIBR;IWM
CIEN;IWM
CIFR;BITO
CIVI;IWM
CL;IWM
CLF;IWM
CLM;IWM
CLOV;IWM
CLS;IWM
CLSK;BITO
CLSX;IWM
CLX;IWM
CMBT;IWM
CMCSA;SPY
CME;XLF
CMG;IWM
CMI;IWM
CNC;IWM
CNH;IWM
CNI;IWM
CNQ;IWM
COF;XLF
COHR;SMH
COIG;IWM
COII;IWM
COIN;BITO
COIW;IWM
COKE;IWM
COMM;IWM
COMP;IWM
CONI;IWM
CONL;IWM
CONY;IWM
COO;IWM
COOP;IWM
COP;XLE
COPX;IWM
COR;IWM
CORZ;IWM
COST;SPY
COTG;IWM
COYY;IWM
CPB;IWM
CPER;IWM
CPNG;IWM
CPRT;IWM
CPRX;IWM
CQQQ;IWM
CRCA;IWM
CRCG;IWM
CRCL;IWM
CRDO;IWM
CRDU;IWM
CRE;IWM
CRGY;IWM
CRH;IWM
CRK;IWM
CRL;IWM
CRM;QQQ
CRMD;IWM
CRMG;IWM
CRML;IWM
CRNC;IWM
CRNX;IWM
CROX;IWM
CRS;IWM
CRSH;IWM
CRSP;IWM
CRUS;IWM
CRWD;QQQ
CRWG;IWM
CRWL;IWM
CRWU;IWM
CRWV;IWM
CSCO;SPY
CSGP;IWM
CSIQ;IWM
CSWC;IWM
CSX;IWM
CTAS;IWM
CTM;IWM
CTRA;XLE
CTSH;IWM
CTVA;IWM
CUK;IWM
CURE;IWM
CURX;IWM
CVCO;IWM
CVE;IWM
CVLT;IWM
CVNA;IWM
CVS;SPY
CVX;XLE
CW;IWM
CWAN;IWM
CWEB;IWM
CWVX;IWM
CYBR;IWM
CYCU;IWM
CYN;IWM
CYTK;IWM
CZR;IWM
D;IWM
DAL;IWM
DASH;IWM
DAVA;IWM
DAVE;IWM
DB;IWM
DD;IWM
DDD;IWM
DDM;IWM
DDOG;QQQ
DDS;IWM
DE;SPY
DECK;IWM
DEFT;IWM
DELL;IWM
DEO;IWM
DFDV;IWM
DFEN;IWM
DFLI;IWM
DG;IWM
DGNX;IWM
DGRO;IWM
DGX;IWM
DGXX;IWM
DHI;IWM
DHR;SPY
DIA;IWM
DIS;SPY
DIVO;IWM
DJT;IWM
DJTU;IWM
DKNG;IWM
DKS;IWM
DLLL;IWM
DLO;IWM
DLR;IWM
DLTR;IWM
